name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,93.4038461538,496.0,3.425,3.77551020408,81.4423076923,47.5769230769,32.0384615385,15.9615384615,12.0576923077,5.25,8.66
Chris Guccione,201.0,209.243902439,283.926829268,15.5609756098,4.28947368421,91.7073170732,53.3902439024,41.7317073171,19.8048780488,14.2926829268,4.97142857143,6.78947368421
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,250.583333333,211.708333333,3.27272727273,3.27272727273,76.6666666667,44.9166666667,30.125,16.0416666667,11.625,5.80952380952,8.65217391304
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,61.8795180723,656.554216867,4.39130434783,2.4328358209,72.4819277108,44.5120481928,30.5542168675,13.6506024096,11.4096385542,3.88888888889,6.98675496689
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,75.7919708029,565.467153285,5.84108527132,2.88510638298,80.7445255474,46.0,32.1824817518,16.7226277372,12.2883211679,4.79761904762,7.87169811321
Michael Lammer,185.0,251.25,146.875,3.125,4.0,81.375,47.0,28.375,15.625,12.75,4.75,9.875
Dusan Vemic,190.0,333.111111111,105.833333333,8.38888888889,3.77777777778,74.6111111111,47.0555555556,33.0555555556,15.0,12.0,3.55555555556,5.77777777778
Adrian Garcia,175.0,181.129032258,276.419354839,2.81481481481,3.1724137931,67.3870967742,40.0967741935,26.6451612903,13.6129032258,10.2580645161,5.08333333333,7.23333333333
Igor Kunitsyn,180.0,110.480519481,399.168831169,2.77049180328,2.72727272727,74.7142857143,42.5064935065,27.4805194805,16.0519480519,11.2467532468,5.0,8.37333333333
Julien Benneteau,185.0,85.253164557,552.075949367,4.69863013699,3.34013605442,76.3037974684,49.5,32.8101265823,12.8227848101,11.821656051,4.71621621622,7.91558441558
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,114.403669725,489.706422018,4.33663366337,2.51162790698,74.7706422018,43.3669724771,29.7155963303,14.7247706422,11.3669724771,5.0,7.96226415094
David Sherwood,193.0,261.0,142.0,6.0,5.0,84.5,43.0,31.0,23.0,14.0,3.5,6.5
Nenad Zimonjic,190.0,463.428571429,73.6428571429,9.07142857143,4.57142857143,83.2142857143,51.8571428571,37.2142857143,15.2857142857,12.5714285714,4.16666666667,6.76923076923
Juan Giner,178.0,315.0,122.0,1.66666666667,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2
Julien Jeanpierre,188.0,170.2,233.6,4.25,4.2,93.4,61.2,41.2,14.8,14.2,9.5,11.2
Igor Andreev,185.0,64.0351758794,720.386934673,4.79213483146,2.80924855491,79.1306532663,50.3618090452,34.8140703518,15.0753768844,12.4572864322,4.30769230769,6.82901554404
Michael Kohlmann,188.0,226.184210526,236.842105263,5.72222222222,3.64864864865,76.4736842105,46.9210526316,33.6216216216,13.6052631579,11.7894736842,4.02857142857,6.92105263158
Cecil Mamiit,173.0,123.850574713,332.597701149,3.80821917808,3.12658227848,79.2068965517,46.0574712644,30.5172413793,15.908045977,12.0804597701,5.72151898734,9.28571428571
Eduardo Schwank,183.0,305.0,121.0,2.0,4.0,54.0,35.0,15.0,9.0,8.0,4.0,9.0
Taylor Dent,188.0,64.9365853659,769.429268293,7.64179104478,5.93,76.8195121951,44.0341463415,32.9853658537,16.3024390244,12.1414634146,4.20111731844,6.37755102041
Edouard Roger Vasselin,188.0,141.642857143,323.428571429,2.57142857143,2.23076923077,77.2857142857,52.5,34.2142857143,11.5714285714,12.2857142857,3.75,6.92857142857
Marcin Matkowski,188.0,726.0,15.0,0.0,6.0,36.0,12.0,3.0,7.0,7.0,1.0,7.0
Stephane Bohli,185.0,463.0,82.5,3.0,1.5,52.5,31.0,21.5,13.0,9.5,2.0,3.0
Nikolay Davydenko,178.0,31.7476190476,1686.70238095,3.56989247312,2.87903225806,74.2095238095,49.530952381,33.4904761905,12.5595238095,11.6833333333,4.7029972752,7.33924050633
Bjorn Rehnquist,175.0,275.285714286,133.714285714,3.4,4.28571428571,67.7142857143,38.1428571429,23.0,14.1428571429,10.0,6.66666666667,9.42857142857
Gilles Elseneer,188.0,166.405405405,289.162162162,6.97297297297,4.5,88.0540540541,54.1891891892,39.1351351351,16.3243243243,13.5675675676,5.12121212121,8.17647058824
Jeff Salzenstein,185.0,218.189189189,233.648648649,9.02777777778,4.97222222222,79.7837837838,48.027027027,35.5135135135,14.3783783784,12.1081081081,5.34285714286,7.83783783784
Tobias Clemens,185.0,250.5,160.25,7.75,5.0,93.25,51.25,37.0,21.5,13.75,4.0,7.0
Gustavo Kuerten,190.0,38.6979865772,2385.94630872,8.98305084746,2.63636363636,81.6275167785,45.0201342282,34.3657718121,19.2986577181,12.8590604027,4.4593495935,6.27838827839
Jesse Witten,178.0,251.5,163.75,7.0,5.0,85.25,46.5,34.0,19.5,13.75,6.0,8.25
Dennis Van Scheppingen,185.0,136.209302326,345.465116279,4.16216216216,4.0,70.6976744186,42.0930232558,29.8372093023,12.9069767442,11.0465116279,4.81081081081,7.7
Fernando Meligeni,180.0,75.5737704918,579.31147541,4.42105263158,3.93965517241,77.4016393443,44.1229508197,30.2131147541,16.5901639344,11.8278688525,5.46428571429,8.40336134454
Dustin Brown,196.0,599.0,27.0,18.0,7.0,115.0,58.0,50.0,22.0,15.0,7.0,10.0
Juan Albert Viloca Puig,185.0,180.916666667,219.5,3.5,3.1,74.8333333333,46.4166666667,30.3333333333,14.6666666667,11.3333333333,5.36363636364,7.83333333333
Franco Squillari,183.0,58.582010582,857.328042328,4.01111111111,5.06077348066,77.3703703704,43.0582010582,29.9047619048,16.5767195767,11.7724867725,5.0988372093,7.92972972973
