name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,97.5223880597,478.970149254,3.18518518519,3.87096774194,80.9552238806,47.3134328358,31.4179104478,15.671641791,11.9701492537,5.08064516129,8.6
Chris Guccione,201.0,164.153846154,395.065934066,14.8461538462,3.79012345679,86.1098901099,51.6263736264,40.5054945055,17.7912087912,13.5274725275,4.37804878049,6.13953488372
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,250.583333333,211.708333333,3.27272727273,3.27272727273,76.6666666667,44.9166666667,30.125,16.0416666667,11.625,5.80952380952,8.65217391304
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,52.7299703264,910.270029674,4.23824451411,2.35769230769,72.350148368,44.5222551929,30.8486646884,13.9554896142,11.3857566766,4.08591065292,6.91530944625
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,75.7919708029,565.467153285,5.84108527132,2.88510638298,80.7445255474,46.0,32.1824817518,16.7226277372,12.2883211679,4.79761904762,7.87169811321
Michael Lammer,185.0,246.727272727,199.5,3.04761904762,3.0,77.3636363636,45.5909090909,29.1818181818,15.4090909091,12.0909090909,5.05,9.04761904762
Aljaz Bedene,181.0,155.0,387.3,6.1,3.3,64.4,38.1,27.5,11.6,9.6,4.11111111111,7.0
Dusan Vemic,190.0,309.80952381,126.238095238,8.09523809524,4.0,75.4761904762,48.0476190476,33.380952381,14.6666666667,12.0,3.95,6.19047619048
Adrian Garcia,175.0,182.125,273.8125,3.0,3.13333333333,69.0625,41.21875,27.40625,14.03125,10.46875,5.28,7.38709677419
Igor Kunitsyn,180.0,88.2158590308,643.198237885,3.25925925926,2.4450867052,76.4273127753,45.9955947137,29.7885462555,15.0264317181,11.6079295154,4.93689320388,8.24324324324
Julien Benneteau,185.0,66.2831168831,779.612987013,5.42005420054,3.55153203343,78.7272727273,51.2207792208,35.0467532468,13.3584415584,12.2447916667,4.63456090652,7.58807588076
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,117.051724138,481.017241379,4.34579439252,2.46739130435,74.0775862069,43.0431034483,29.5344827586,14.5775862069,11.3189655172,4.99038461538,7.9375
David Sherwood,193.0,261.0,142.0,6.0,5.0,84.5,43.0,31.0,23.0,14.0,3.5,6.5
Nenad Zimonjic,190.0,463.428571429,73.6428571429,9.07142857143,4.57142857143,83.2142857143,51.8571428571,37.2142857143,15.2857142857,12.5714285714,4.16666666667,6.76923076923
Juan Giner,178.0,315.0,122.0,1.66666666667,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2
Julien Jeanpierre,188.0,170.2,233.6,4.25,4.2,93.4,61.2,41.2,14.8,14.2,9.5,11.2
Igor Andreev,185.0,57.7873831776,893.331775701,5.32653061224,2.93684210526,79.5537383178,49.6074766355,34.9719626168,15.6495327103,12.4906542056,4.23177083333,6.62682926829
Caio Zampieri,183.0,270.2,193.6,4.25,2.4,68.4,39.8,25.2,13.8,10.4,3.2,6.8
Michael Kohlmann,188.0,226.184210526,236.842105263,5.72222222222,3.64864864865,76.4736842105,46.9210526316,33.6216216216,13.6052631579,11.7894736842,4.02857142857,6.92105263158
Cecil Mamiit,173.0,130.505617978,326.741573034,3.85333333333,3.0987654321,79.2471910112,46.1348314607,30.6404494382,15.9101123596,12.1011235955,5.66666666667,9.20930232558
Eduardo Schwank,183.0,86.2929292929,685.686868687,4.36363636364,3.4,77.8888888889,48.6565656566,32.7676767677,14.9595959596,11.9292929293,4.76470588235,7.41052631579
Taylor Dent,188.0,100.095419847,692.595419847,7.70428015564,5.98039215686,77.6755725191,44.5877862595,33.5076335878,16.2061068702,12.2519083969,4.2683982684,6.5219123506
Edouard Roger Vasselin,188.0,118.821428571,466.083333333,4.25301204819,2.97260273973,83.7142857143,53.8214285714,36.6904761905,14.5357142857,12.9047619048,4.73684210526,7.68292682927
Marcin Matkowski,188.0,726.0,15.0,0.0,6.0,36.0,12.0,3.0,7.0,7.0,1.0,7.0
Stephane Bohli,185.0,188.157894737,336.526315789,6.16666666667,2.88888888889,74.6315789474,40.6842105263,28.8421052632,16.9473684211,11.6315789474,4.16666666667,6.89473684211
Nikolay Davydenko,178.0,26.1078014184,2094.71631206,3.70751633987,2.9003164557,74.0496453901,49.5843971631,33.8638297872,12.5661450925,11.6808510638,4.58048780488,7.03614457831
Bjorn Rehnquist,175.0,248.25,175.666666667,2.625,3.66666666667,64.75,37.9166666667,22.5833333333,12.3333333333,10.0,5.7,8.91666666667
Gilles Elseneer,188.0,166.405405405,289.162162162,6.97297297297,4.5,88.0540540541,54.1891891892,39.1351351351,16.3243243243,13.5675675676,5.12121212121,8.17647058824
Antonio Veic,180.0,194.416666667,288.125,4.76470588235,3.19047619048,78.6666666667,47.7916666667,31.6666666667,14.4166666667,12.5,4.86363636364,8.375
Jeff Salzenstein,185.0,218.189189189,233.648648649,9.02777777778,4.97222222222,79.7837837838,48.027027027,35.5135135135,14.3783783784,12.1081081081,5.34285714286,7.83783783784
Evgeny Donskoy,185.0,253.090909091,273.363636364,4.54545454545,2.22222222222,74.5454545455,42.0,28.5454545455,16.2727272727,11.7272727273,4.72727272727,8.36363636364
Tobias Clemens,185.0,250.5,160.25,7.75,5.0,93.25,51.25,37.0,21.5,13.75,4.0,7.0
Gustavo Kuerten,190.0,48.1561461794,2362.28239203,8.93624161074,2.640625,81.4684385382,44.9368770764,34.2657807309,19.2159468439,12.8272425249,4.45381526104,6.30072463768
Jesse Witten,178.0,245.818181818,194.363636364,6.18181818182,5.3,94.2727272727,49.8181818182,34.0909090909,22.1818181818,15.1818181818,5.88888888889,9.45454545455
Dennis Van Scheppingen,185.0,136.209302326,345.465116279,4.16216216216,4.0,70.6976744186,42.0930232558,29.8372093023,12.9069767442,11.0465116279,4.81081081081,7.7
Fernando Meligeni,180.0,75.5737704918,579.31147541,4.42105263158,3.93965517241,77.4016393443,44.1229508197,30.2131147541,16.5901639344,11.8278688525,5.46428571429,8.40336134454
Dustin Brown,196.0,134.571428571,441.057142857,11.7714285714,4.55882352941,91.6571428571,51.6285714286,39.2571428571,19.1428571429,13.8,5.0303030303,7.61764705882
Juan Albert Viloca Puig,185.0,180.916666667,219.5,3.5,3.1,74.8333333333,46.4166666667,30.3333333333,14.6666666667,11.3333333333,5.36363636364,7.83333333333
Franco Squillari,183.0,58.582010582,857.328042328,4.01111111111,5.06077348066,77.3703703704,43.0582010582,29.9047619048,16.5767195767,11.7724867725,5.0988372093,7.92972972973
Karim Alami,185.0,57.2361111111,780.916666667,4.82857142857,3.79104477612,79.375,45.0555555556,31.7777777778,16.8888888889,12.3194444444,4.86363636364,7.66197183099
Robin Vik,183.0,88.6842105263,494.684210526,4.17647058824,3.90909090909,78.4912280702,49.2807017544,32.3333333333,12.5614035088,12.0701754386,4.49122807018,8.64912280702
Francisco Cabello,190.0,291.0,102.0,0.0,2.0,40.0,18.0,8.0,8.0,7.0,3.0,8.0
Irakli Labadze,188.0,93.9541284404,463.302752294,5.06862745098,5.87037037037,76.752293578,46.871559633,31.5871559633,13.7431192661,11.6697247706,5.23529411765,8.42592592593
Chemseddine Belal,180.0,553.0,31.0,0.0,1.0,58.0,25.0,15.0,17.0,8.0,5.0,8.0
Sergi Bruguera,188.0,130.970149254,418.835820896,4.53968253968,3.67796610169,73.0597014925,42.6268656716,29.5223880597,13.9701492537,11.4029850746,5.24561403509,7.9696969697
Nicolas Escude,185.0,38.5057471264,946.017241379,7.30177514793,3.9880239521,79.8563218391,44.3620689655,32.7816091954,17.9022988506,12.5689655172,4.51612903226,7.10975609756
David Caldwell,180.0,1028.0,4.0,3.0,3.0,96.0,73.0,43.0,10.0,14.0,11.0,16.0
Attila Savolt,183.0,112.242857143,406.585714286,5.34328358209,4.26470588235,77.4428571429,42.4571428571,30.4285714286,16.3285714286,12.0714285714,5.22222222222,8.23188405797
Marko Tkalec,178.0,305.0,105.0,7.0,3.0,94.0,39.0,27.0,25.0,15.0,3.0,8.0
Mehdi Tahiri,183.0,632.857142857,30.1428571429,1.66666666667,3.16666666667,68.1428571429,44.5714285714,24.2857142857,10.2857142857,9.42857142857,3.71428571429,8.42857142857
Olivier Rochus,168.0,61.6578947368,714.833333333,2.31578947368,3.03544303797,79.5328947368,48.8070175439,32.3881578947,15.7916666667,12.1600877193,4.99761336516,8.02036199095
Lamine Ouahab,185.0,315.0,241.714285714,1.5,3.2,56.0,32.4285714286,20.8571428571,10.4285714286,8.85714285714,2.85714285714,6.0
Victor Estrella,173.0,243.0,149.0,2.0,2.0,83.0,60.0,35.0,12.0,11.0,5.0,8.0
Brian Wilson,190.0,419.8,87.0,4.6,6.0,83.0,51.0,37.4,13.8,12.0,6.0,8.6
Lukas Dlouhy,185.0,107.848484848,415.060606061,5.74193548387,5.28787878788,87.6666666667,54.1666666667,36.803030303,15.3333333333,13.3846153846,5.28125,8.98484848485
Sebastian Decoud,178.0,224.25,277.75,3.71428571429,2.25,80.75,56.25,36.5,10.875,12.125,5.5,9.125
Ryan Sweeting,196.0,153.460674157,476.831460674,4.54117647059,4.92941176471,78.4269662921,49.595505618,33.1797752809,13.5909090909,11.7752808989,5.44578313253,8.8023255814
Jo Wilfried Tsonga,188.0,19.376119403,2827.25373134,10.1732522796,2.6724137931,80.5343283582,50.5074626866,38.9014925373,15.8592814371,13.023880597,4.18727915194,5.92026578073
Woong Sun Jun,190.0,315.625,117.25,3.42857142857,2.71428571429,64.5,37.0,26.5,12.0,10.0,4.125,7.125
Alexandre Simoni,188.0,125.620689655,336.0,6.89655172414,5.0,77.0689655172,43.7931034483,31.4482758621,16.4482758621,11.8965517241,4.5,7.13793103448
Denis Kudla,180.0,333.0,182.285714286,5.07142857143,4.07142857143,94.4285714286,50.5714285714,33.0714285714,23.0,14.0714285714,6.28571428571,10.5714285714
Daniel Vacek,190.0,297.68,486.56,5.34782608696,4.64,73.72,39.56,26.52,16.56,11.08,4.69565217391,7.88
Marcelo Charpentier,180.0,194.571428571,191.285714286,2.0,5.42857142857,101.285714286,70.8571428571,42.5714285714,14.2857142857,14.0,8.0,11.5714285714
Jason Stoltenberg,185.0,81.1219512195,516.097560976,6.325,4.0,82.3658536585,47.2926829268,34.8292682927,16.9756097561,13.1951219512,3.97297297297,7.13157894737
Ricardo Mello,175.0,101.299270073,495.277372263,2.975,2.70161290323,74.2700729927,47.0510948905,30.598540146,13.8175182482,11.503649635,4.68503937008,7.84210526316
Alexander Reichel,193.0,1154.0,4.0,4.0,4.0,57.0,33.0,21.0,10.0,8.0,5.0,8.0
Brian Macphie,180.0,419.0,59.0,13.0,2.0,70.5,40.5,28.5,17.5,11.5,5.0,7.0
Kristian Pless,188.0,129.495575221,402.902654867,6.4495412844,4.04901960784,81.0884955752,49.6371681416,34.6902654867,15.8849557522,12.6991150442,4.80769230769,7.47747747748
Nathan Healey,180.0,234.736842105,175.684210526,8.21052631579,5.84210526316,81.2631578947,45.8947368421,33.5263157895,17.5789473684,12.3684210526,4.94117647059,7.27777777778
Yen Hsun Lu,180.0,78.5631578947,691.721052632,4.55747126437,3.86559139785,77.9736842105,46.9210526316,32.6473684211,15.1526315789,12.0789473684,4.94117647059,7.81967213115
Richey Reneberg,180.0,204.0,165.0,5.0,1.0,61.5,30.0,20.5,16.0,8.5,3.0,5.5
Martin Vassallo Arguello,183.0,88.7786885246,647.532786885,3.26732673267,2.96296296296,76.1229508197,51.5081967213,32.8114754098,11.958677686,11.5737704918,4.94690265487,8.3813559322
Pere Riba,183.0,90.7575757576,624.318181818,5.33898305085,3.5593220339,75.196969697,41.196969697,27.4090909091,15.803030303,11.4848484848,4.35384615385,8.09230769231
Jaymon Crabb,183.0,263.125,129.0,4.125,3.14285714286,86.0,52.625,33.375,14.875,13.125,6.5,11.375
Ryler Deheart,183.0,254.5,164.5,9.0,3.5,100.75,60.0,41.0,20.25,15.75,6.0,10.0
Grant Stafford,188.0,472.0,46.0,8.0,7.5,114.5,68.0,53.5,22.0,19.5,4.5,9.0
Patrick Rafter,185.0,13.6666666667,1789.65740741,7.5462962963,3.5612244898,79.2685185185,51.2962962963,39.3240740741,15.1018518519,12.9722222222,3.88505747126,5.33333333333
Andrei Cherkasov,180.0,213.0,171.5,1.0,4.5,60.0,34.5,19.5,13.0,10.5,2.5,7.5
Goran Ivanisevic,193.0,147.057692308,723.884615385,15.1666666667,5.88235294118,80.1634615385,44.1923076923,35.3076923077,17.4903846154,13.0,4.37894736842,6.82474226804
Juan Carlos Ferrero,183.0,24.943620178,1821.99851632,4.59180327869,2.82867783985,79.8887240356,51.0341246291,35.3278931751,15.646884273,12.53115727,4.77166666667,7.08527131783
Thomas Schoorel,203.0,146.666666667,377.833333333,4.5,2.0,69.3333333333,44.6666666667,30.1666666667,11.5,10.5,4.16666666667,7.0
Thomas Schiessling,180.0,774.0,16.5,2.75,4.0,61.75,32.5,19.25,14.25,10.5,3.33333333333,6.75
Antony Dupuis,185.0,96.0,462.348066298,7.35393258427,3.10256410256,80.6961325967,47.9226519337,34.4806629834,16.7182320442,12.3535911602,4.89308176101,7.34117647059
Gianni Mina,185.0,654.0,29.0,2.5,2.5,76.5,40.0,25.0,16.5,11.5,5.0,9.5
Ramon Delgado,185.0,139.95,327.575,6.07792207792,3.20833333333,80.6875,49.4375,33.5375,15.425,12.6,4.28169014085,7.28205128205
Thomas Shimada,178.0,1351.0,1.0,3.0,1.0,51.0,29.0,18.0,14.0,10.0,1.0,4.0
Victor Ionita,185.0,233.0,166.666666667,1.66666666667,2.33333333333,62.0,36.6666666667,17.6666666667,12.0,9.33333333333,4.66666666667,10.0
Pedro Sousa,180.0,567.333333333,90.6666666667,3.66666666667,2.33333333333,74.0,46.6666666667,27.6666666667,10.0,11.0,5.66666666667,10.6666666667
Andrei Medvedev,193.0,51.1803278689,827.885245902,5.2131147541,3.53448275862,83.868852459,48.6721311475,33.5081967213,16.6393442623,12.4262295082,5.80327868852,9.2131147541
Radomir Vasek,188.0,470.0,44.0,2.0,4.0,58.0,32.0,18.0,12.0,9.0,3.0,7.0
Tobias Kamke,180.0,94.1973684211,584.605263158,2.42372881356,4.33823529412,76.5263157895,43.9210526316,28.3421052632,15.8684210526,11.6578947368,5.02898550725,8.47297297297
Alexander Sadecky,193.0,425.0,83.0,6.66666666667,5.0,76.0,45.3333333333,34.0,13.6666666667,13.0,2.0,5.33333333333
Rui Machado,178.0,121.595238095,528.666666667,2.51724137931,3.8,84.8095238095,55.8333333333,34.9523809524,13.6341463415,12.7142857143,4.7,8.92682926829
Eric Taino,175.0,210.291666667,198.916666667,5.47826086957,3.04347826087,76.375,40.4583333333,28.4166666667,18.5,11.7916666667,3.85714285714,6.04166666667
David Goffin,163.0,114.78125,545.0625,4.70967741935,4.59375,83.5,47.75,33.3125,17.9375,12.5625,5.13333333333,7.8125
Marius Copil,193.0,280.166666667,191.333333333,8.75,2.54545454545,67.0,38.1666666667,28.6666666667,13.8333333333,10.9166666667,3.27272727273,5.72727272727
Orlin Stanoytchev,185.0,109.391304348,369.086956522,6.69565217391,7.0,85.6086956522,48.7826086957,33.5217391304,16.3913043478,12.6956521739,5.21739130435,9.08695652174
Daniel Nestor,190.0,278.0,173.12,8.16,5.21739130435,87.56,54.64,39.2,17.04,13.72,4.21739130435,6.95833333333
Nicolas Todero,183.0,332.0,89.0,2.0,4.0,74.0,46.0,31.0,12.0,10.0,3.0,5.0
Luke Milligan,180.0,533.0,35.0,3.0,4.0,83.5,52.5,30.0,11.0,12.5,4.5,11.5
Richard Bloomfield,185.0,367.375,117.875,10.1875,4.625,81.875,46.4375,35.1875,17.4375,12.375,4.53333333333,6.93333333333
Denis Golovanov,188.0,333.2,141.8,3.0,5.0,67.6,35.4,23.4,12.4,10.0,4.8,9.0
Rohan Bopanna,190.0,364.789473684,109.210526316,10.4736842105,3.57894736842,72.9473684211,40.9473684211,32.3157894737,16.0526315789,11.4210526316,4.52941176471,6.16666666667
Adrian Ungur,178.0,116.6,498.1,3.29411764706,4.1,80.7,49.2,32.1,15.25,12.15,4.8,8.5
Marco Crugnola,188.0,274.666666667,226.666666667,1.0,6.33333333333,59.6666666667,35.6666666667,20.3333333333,8.33333333333,9.33333333333,4.0,9.33333333333
Michael Yani,185.0,254.176470588,204.058823529,6.0,4.13333333333,83.7058823529,50.1176470588,33.5882352941,16.5882352941,12.4117647059,5.06666666667,7.52941176471
Jurgen Melzer,183.0,48.3671875,1102.89648438,5.82931726908,3.16052060738,80.158203125,48.673828125,34.21875,15.982421875,12.41796875,4.58244111349,7.10663983903
Brian Baker,190.0,200.05,369.7,4.325,4.28205128205,85.275,53.25,36.55,15.75,13.025,4.77777777778,7.79487179487
Alun Jones,180.0,193.272727273,236.727272727,4.3,3.22222222222,87.0909090909,55.0,34.7272727273,15.0,13.4545454545,6.2,10.1818181818
Alan Mackin,183.0,275.7,135.5,3.25,4.3,93.7,61.6,38.6,13.0,13.8,6.1,11.5
Diego Hartfield,185.0,101.904761905,425.523809524,4.35135135135,3.075,77.6904761905,50.5238095238,33.0714285714,13.0714285714,11.8095238095,4.58974358974,7.73170731707
Sebastien Lareau,183.0,127.730769231,313.269230769,5.76923076923,3.8,81.9615384615,50.1923076923,34.8076923077,15.4230769231,12.5384615385,4.44,7.46153846154
Frederik Nielsen,190.0,370.0,143.125,3.33333333333,3.0,72.125,43.625,26.875,11.875,10.75,5.75,10.125
Jan Hajek,180.0,99.4666666667,517.48,3.75806451613,2.63333333333,69.0266666667,42.5466666667,27.3066666667,12.5,10.4933333333,4.75362318841,8.23611111111
Rainer Eitzinger,178.0,262.666666667,155.888888889,4.0,2.77777777778,74.1111111111,50.1111111111,32.0,11.7777777778,11.1111111111,4.11111111111,7.22222222222
Brian Vahaly,183.0,114.016666667,399.983333333,3.29411764706,3.69090909091,80.55,51.85,33.35,14.7833333333,12.3166666667,4.89285714286,8.06779661017
Albert Montanes,175.0,61.2873831776,828.5,3.87830687831,3.5078125,74.8598130841,45.1098130841,31.1168224299,14.7142857143,11.6004672897,4.44642857143,7.25480769231
Novak Djokovic,188.0,12.602862254,6838.31305903,5.61481481481,2.87934560327,77.8497316637,49.8282647585,36.2182468694,15.1413237925,12.4007155635,4.20977596741,6.14980544747
