name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,53.2209302326,775.686046512,10.1176470588,6.76744186047,77.2209302326,43.7906976744,33.9534883721,15.6627906977,12.2674418605,4.27272727273,6.2619047619
Bob Bryan,193.0,157.8,247.04,7.36,3.36363636364,76.32,46.64,33.4,15.76,12.32,4.18181818182,6.12
Johan Settergren,185.0,170.0,227.666666667,2.0,5.0,70.6666666667,44.0,27.0,10.0,9.33333333333,16.0,9.33333333333
Marcus Sarstrand,183.0,357.0,78.0,6.0,4.0,76.0,38.0,26.0,14.0,13.0,3.0,9.0
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,78.2571428571,548.157142857,6.72058823529,3.59677419355,81.1285714286,43.8428571429,31.4,17.1571428571,12.3285714286,4.86153846154,8.13235294118
Dusan Vemic,190.0,502.0,40.0,4.0,7.0,78.0,50.0,35.0,9.0,11.0,3.0,6.0
Adrian Garcia,175.0,334.4,93.4,2.0,3.0,57.6,36.8,25.4,10.6,8.8,5.0,6.5
Julien Benneteau,185.0,343.0,89.0,4.0,1.5,76.5,41.0,27.5,14.0,10.5,6.0,10.0
Justin Bower,190.0,509.0,39.0,13.5,5.0,125.0,83.0,62.5,21.0,19.0,6.0,9.0
Harel Levy,185.0,73.5857142857,633.828571429,4.41791044776,2.5,74.6571428571,43.1285714286,30.1428571429,15.1285714286,11.5285714286,4.84375,7.61764705882
Nenad Zimonjic,190.0,252.0,140.5,8.0,5.5,94.25,56.5,39.75,19.75,13.75,6.0,8.75
Juan Giner,178.0,399.0,63.0,0.0,2.0,71.0,46.0,22.0,13.0,12.0,3.0,9.0
Michael Kohlmann,188.0,191.0,187.8,9.0,3.8,70.2,40.6,35.0,11.8,11.0,5.25,8.4
Cecil Mamiit,173.0,117.372093023,348.302325581,4.24324324324,3.21621621622,81.4186046512,46.4186046512,31.2558139535,16.8604651163,12.2790697674,6.02631578947,9.675
Taylor Dent,188.0,170.066666667,247.233333333,7.4,5.62068965517,75.0666666667,40.6,30.4333333333,16.5333333333,11.8333333333,4.15384615385,6.65517241379
Nikolay Davydenko,178.0,140.041666667,345.208333333,3.31578947368,2.73684210526,76.5833333333,50.2083333333,31.3333333333,12.875,11.5,5.30434782609,8.75
