name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,97.5223880597,478.970149254,3.18518518519,3.87096774194,80.9552238806,47.3134328358,31.4179104478,15.671641791,11.9701492537,5.08064516129,8.6
Chris Guccione,201.0,155.023255814,408.709302326,15.023255814,3.77631578947,86.1162790698,51.6860465116,40.5930232558,17.9069767442,13.5813953488,4.2987012987,6.04938271605
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,250.583333333,211.708333333,3.27272727273,3.27272727273,76.6666666667,44.9166666667,30.125,16.0416666667,11.625,5.80952380952,8.65217391304
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,65.2355555556,684.173333333,4.2752293578,2.42285714286,73.5244444444,45.5111111111,31.3111111111,13.8488888889,11.5244444444,3.98492462312,6.89523809524
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,75.7919708029,565.467153285,5.84108527132,2.88510638298,80.7445255474,46.0,32.1824817518,16.7226277372,12.2883211679,4.79761904762,7.87169811321
Michael Lammer,185.0,232.052631579,211.052631579,3.11111111111,3.16666666667,77.0526315789,45.3684210526,28.3157894737,14.7368421053,11.8947368421,5.47058823529,9.83333333333
Aljaz Bedene,181.0,290.0,148.0,4.0,3.0,69.0,45.0,31.0,11.0,10.0,2.0,5.0
Dusan Vemic,190.0,309.80952381,126.238095238,8.09523809524,4.0,75.4761904762,48.0476190476,33.380952381,14.6666666667,12.0,3.95,6.19047619048
Adrian Garcia,175.0,182.125,273.8125,3.0,3.13333333333,69.0625,41.21875,27.40625,14.03125,10.46875,5.28,7.38709677419
Igor Kunitsyn,180.0,90.7041420118,640.082840237,3.0,2.49612403101,75.2366863905,45.9053254438,29.6686390533,14.6094674556,11.4437869822,5.09395973154,8.20731707317
Julien Benneteau,185.0,68.7398648649,744.966216216,5.19503546099,3.47826086957,78.1655405405,50.9054054054,34.4662162162,13.1891891892,12.1627118644,4.71794871795,7.78947368421
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,117.051724138,481.017241379,4.34579439252,2.46739130435,74.0775862069,43.0431034483,29.5344827586,14.5775862069,11.3189655172,4.99038461538,7.9375
David Sherwood,193.0,261.0,142.0,6.0,5.0,84.5,43.0,31.0,23.0,14.0,3.5,6.5
Nenad Zimonjic,190.0,463.428571429,73.6428571429,9.07142857143,4.57142857143,83.2142857143,51.8571428571,37.2142857143,15.2857142857,12.5714285714,4.16666666667,6.76923076923
Juan Giner,178.0,315.0,122.0,1.66666666667,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2
Julien Jeanpierre,188.0,170.2,233.6,4.25,4.2,93.4,61.2,41.2,14.8,14.2,9.5,11.2
Igor Andreev,185.0,51.2853185596,951.969529086,5.31722054381,2.90595611285,79.5180055402,49.9390581717,35.0858725762,15.5069252078,12.4847645429,4.23100303951,6.64367816092
Caio Zampieri,183.0,239.666666667,226.0,4.0,2.0,67.0,39.3333333333,24.3333333333,15.3333333333,10.3333333333,1.66666666667,5.0
Michael Kohlmann,188.0,226.184210526,236.842105263,5.72222222222,3.64864864865,76.4736842105,46.9210526316,33.6216216216,13.6052631579,11.7894736842,4.02857142857,6.92105263158
Cecil Mamiit,173.0,130.505617978,326.741573034,3.85333333333,3.0987654321,79.2471910112,46.1348314607,30.6404494382,15.9101123596,12.1011235955,5.66666666667,9.20930232558
Eduardo Schwank,183.0,75.7195121951,740.243902439,4.48611111111,3.41558441558,77.0975609756,47.7317073171,32.2317073171,14.6951219512,11.8048780488,4.77464788732,7.45569620253
Taylor Dent,188.0,100.095419847,692.595419847,7.70428015564,5.98039215686,77.6755725191,44.5877862595,33.5076335878,16.2061068702,12.2519083969,4.2683982684,6.5219123506
Edouard Roger Vasselin,188.0,140.685714286,356.428571429,3.8,2.60606060606,82.0285714286,53.3142857143,35.2285714286,13.3142857143,12.6571428571,4.9375,8.5
Marcin Matkowski,188.0,726.0,15.0,0.0,6.0,36.0,12.0,3.0,7.0,7.0,1.0,7.0
Stephane Bohli,185.0,187.857142857,352.0,6.92307692308,2.84615384615,73.2857142857,39.2857142857,27.6428571429,17.5714285714,11.3571428571,4.46153846154,6.85714285714
Nikolay Davydenko,178.0,23.914893617,2252.8314239,3.84898710866,2.77348066298,73.6579378069,48.9492635025,33.6677577741,12.8081967213,11.6955810147,4.48859315589,6.85863874346
Bjorn Rehnquist,175.0,248.25,175.666666667,2.625,3.66666666667,64.75,37.9166666667,22.5833333333,12.3333333333,10.0,5.7,8.91666666667
Gilles Elseneer,188.0,166.405405405,289.162162162,6.97297297297,4.5,88.0540540541,54.1891891892,39.1351351351,16.3243243243,13.5675675676,5.12121212121,8.17647058824
Antonio Veic,180.0,229.75,242.875,5.6,3.33333333333,85.125,51.875,34.0,16.5,12.75,5.375,9.0
Jeff Salzenstein,185.0,218.189189189,233.648648649,9.02777777778,4.97222222222,79.7837837838,48.027027027,35.5135135135,14.3783783784,12.1081081081,5.34285714286,7.83783783784
Evgeny Donskoy,185.0,390.8,117.4,5.2,2.2,75.0,39.6,26.8,17.4,11.4,6.4,10.4
Tobias Clemens,185.0,250.5,160.25,7.75,5.0,93.25,51.25,37.0,21.5,13.75,4.0,7.0
Gustavo Kuerten,190.0,48.1561461794,2362.28239203,8.93624161074,2.640625,81.4684385382,44.9368770764,34.2657807309,19.2159468439,12.8272425249,4.45381526104,6.30072463768
Jesse Witten,178.0,245.818181818,194.363636364,6.18181818182,5.3,94.2727272727,49.8181818182,34.0909090909,22.1818181818,15.1818181818,5.88888888889,9.45454545455
Dennis Van Scheppingen,185.0,136.209302326,345.465116279,4.16216216216,4.0,70.6976744186,42.0930232558,29.8372093023,12.9069767442,11.0465116279,4.81081081081,7.7
Fernando Meligeni,180.0,75.5737704918,579.31147541,4.42105263158,3.93965517241,77.4016393443,44.1229508197,30.2131147541,16.5901639344,11.8278688525,5.46428571429,8.40336134454
Dustin Brown,196.0,146.2,440.6,12.8,5.21428571429,86.8666666667,47.0,36.4666666667,18.7333333333,13.1333333333,5.23076923077,7.5
Juan Albert Viloca Puig,185.0,180.916666667,219.5,3.5,3.1,74.8333333333,46.4166666667,30.3333333333,14.6666666667,11.3333333333,5.36363636364,7.83333333333
Franco Squillari,183.0,58.582010582,857.328042328,4.01111111111,5.06077348066,77.3703703704,43.0582010582,29.9047619048,16.5767195767,11.7724867725,5.0988372093,7.92972972973
Karim Alami,185.0,57.2361111111,780.916666667,4.82857142857,3.79104477612,79.375,45.0555555556,31.7777777778,16.8888888889,12.3194444444,4.86363636364,7.66197183099
Robin Vik,183.0,88.6842105263,494.684210526,4.17647058824,3.90909090909,78.4912280702,49.2807017544,32.3333333333,12.5614035088,12.0701754386,4.49122807018,8.64912280702
Francisco Cabello,190.0,291.0,102.0,0.0,2.0,40.0,18.0,8.0,8.0,7.0,3.0,8.0
Irakli Labadze,188.0,93.9541284404,463.302752294,5.06862745098,5.87037037037,76.752293578,46.871559633,31.5871559633,13.7431192661,11.6697247706,5.23529411765,8.42592592593
Chemseddine Belal,180.0,553.0,31.0,0.0,1.0,58.0,25.0,15.0,17.0,8.0,5.0,8.0
Sergi Bruguera,188.0,130.970149254,418.835820896,4.53968253968,3.67796610169,73.0597014925,42.6268656716,29.5223880597,13.9701492537,11.4029850746,5.24561403509,7.9696969697
Nicolas Escude,185.0,38.5057471264,946.017241379,7.30177514793,3.9880239521,79.8563218391,44.3620689655,32.7816091954,17.9022988506,12.5689655172,4.51612903226,7.10975609756
David Caldwell,180.0,1028.0,4.0,3.0,3.0,96.0,73.0,43.0,10.0,14.0,11.0,16.0
Attila Savolt,183.0,112.242857143,406.585714286,5.34328358209,4.26470588235,77.4428571429,42.4571428571,30.4285714286,16.3285714286,12.0714285714,5.22222222222,8.23188405797
Marko Tkalec,178.0,305.0,105.0,7.0,3.0,94.0,39.0,27.0,25.0,15.0,3.0,8.0
Mehdi Tahiri,183.0,632.857142857,30.1428571429,1.66666666667,3.16666666667,68.1428571429,44.5714285714,24.2857142857,10.2857142857,9.42857142857,3.71428571429,8.42857142857
Olivier Rochus,168.0,59.9698492462,717.959798995,2.29096989967,3.02325581395,79.1683417085,48.7185929648,32.2939698492,15.6884422111,12.1256281407,4.95640326975,7.97150259067
Lamine Ouahab,185.0,242.166666667,278.833333333,1.6,3.2,57.0,33.3333333333,21.1666666667,9.66666666667,8.83333333333,3.16666666667,6.66666666667
Victor Estrella,173.0,243.0,149.0,2.0,2.0,83.0,60.0,35.0,12.0,11.0,5.0,8.0
Brian Wilson,190.0,419.8,87.0,4.6,6.0,83.0,51.0,37.4,13.8,12.0,6.0,8.6
Lukas Dlouhy,185.0,107.848484848,415.060606061,5.74193548387,5.28787878788,87.6666666667,54.1666666667,36.803030303,15.3333333333,13.3846153846,5.28125,8.98484848485
Sebastian Decoud,178.0,225.571428571,284.0,4.16666666667,2.28571428571,84.8571428571,60.1428571429,40.1428571429,11.0,13.0,5.42857142857,8.85714285714
Ryan Sweeting,196.0,246.25,288.805555556,5.51515151515,4.70588235294,80.3055555556,53.4722222222,34.5,11.9142857143,12.25,5.73529411765,9.66666666667
Jo Wilfried Tsonga,188.0,26.6455026455,2342.14285714,10.3891891892,2.69696969697,80.3492063492,51.0317460317,39.417989418,15.4893617021,13.0582010582,3.98742138365,5.68235294118
Woong Sun Jun,190.0,315.625,117.25,3.42857142857,2.71428571429,64.5,37.0,26.5,12.0,10.0,4.125,7.125
Alexandre Simoni,188.0,125.620689655,336.0,6.89655172414,5.0,77.0689655172,43.7931034483,31.4482758621,16.4482758621,11.8965517241,4.5,7.13793103448
Denis Kudla,180.0,793.0,15.0,5.5,3.5,91.0,47.0,30.0,23.0,13.5,7.0,11.5
Daniel Vacek,190.0,297.68,486.56,5.34782608696,4.64,73.72,39.56,26.52,16.56,11.08,4.69565217391,7.88
Marcelo Charpentier,180.0,194.571428571,191.285714286,2.0,5.42857142857,101.285714286,70.8571428571,42.5714285714,14.2857142857,14.0,8.0,11.5714285714
Jason Stoltenberg,185.0,81.1219512195,516.097560976,6.325,4.0,82.3658536585,47.2926829268,34.8292682927,16.9756097561,13.1951219512,3.97297297297,7.13157894737
Ricardo Mello,175.0,103.537037037,475.888888889,3.07368421053,2.63725490196,72.4166666667,46.212962963,30.0092592593,13.2037037037,11.212962963,4.52941176471,7.65094339623
Alexander Reichel,193.0,1154.0,4.0,4.0,4.0,57.0,33.0,21.0,10.0,8.0,5.0,8.0
Brian Macphie,180.0,419.0,59.0,13.0,2.0,70.5,40.5,28.5,17.5,11.5,5.0,7.0
Kristian Pless,188.0,129.495575221,402.902654867,6.4495412844,4.04901960784,81.0884955752,49.6371681416,34.6902654867,15.8849557522,12.6991150442,4.80769230769,7.47747747748
Nathan Healey,180.0,234.736842105,175.684210526,8.21052631579,5.84210526316,81.2631578947,45.8947368421,33.5263157895,17.5789473684,12.3684210526,4.94117647059,7.27777777778
Yen Hsun Lu,180.0,86.3333333333,640.621212121,4.65289256198,3.83076923077,78.5454545455,47.1515151515,32.6212121212,15.1439393939,12.1136363636,5.07627118644,8.07086614173
Richey Reneberg,180.0,204.0,165.0,5.0,1.0,61.5,30.0,20.5,16.0,8.5,3.0,5.5
Martin Vassallo Arguello,183.0,88.7786885246,647.532786885,3.26732673267,2.96296296296,76.1229508197,51.5081967213,32.8114754098,11.958677686,11.5737704918,4.94690265487,8.3813559322
Pere Riba,183.0,112.153846154,555.576923077,5.79166666667,3.0,80.8461538462,45.0,29.9230769231,16.7307692308,12.4230769231,4.34615384615,8.23076923077
Jaymon Crabb,183.0,263.125,129.0,4.125,3.14285714286,86.0,52.625,33.375,14.875,13.125,6.5,11.375
Ryler Deheart,183.0,254.5,164.5,9.0,3.5,100.75,60.0,41.0,20.25,15.75,6.0,10.0
Grant Stafford,188.0,472.0,46.0,8.0,7.5,114.5,68.0,53.5,22.0,19.5,4.5,9.0
Patrick Rafter,185.0,13.6666666667,1789.65740741,7.5462962963,3.5612244898,79.2685185185,51.2962962963,39.3240740741,15.1018518519,12.9722222222,3.88505747126,5.33333333333
Andrei Cherkasov,180.0,213.0,171.5,1.0,4.5,60.0,34.5,19.5,13.0,10.5,2.5,7.5
Goran Ivanisevic,193.0,147.057692308,723.884615385,15.1666666667,5.88235294118,80.1634615385,44.1923076923,35.3076923077,17.4903846154,13.0,4.37894736842,6.82474226804
Juan Carlos Ferrero,183.0,21.7,1897.77301587,4.66724738676,2.83529411765,79.8507936508,50.9587301587,35.4206349206,15.6428571429,12.5301587302,4.72142857143,7.0149750416
Thomas Schoorel,203.0,171.0,301.0,3.0,3.0,53.0,30.0,19.0,7.0,8.0,3.0,8.0
Thomas Schiessling,180.0,774.0,16.5,2.75,4.0,61.75,32.5,19.25,14.25,10.5,3.33333333333,6.75
Antony Dupuis,185.0,96.0,462.348066298,7.35393258427,3.10256410256,80.6961325967,47.9226519337,34.4806629834,16.7182320442,12.3535911602,4.89308176101,7.34117647059
Gianni Mina,185.0,654.0,29.0,2.5,2.5,76.5,40.0,25.0,16.5,11.5,5.0,9.5
Ramon Delgado,185.0,139.95,327.575,6.07792207792,3.20833333333,80.6875,49.4375,33.5375,15.425,12.6,4.28169014085,7.28205128205
Thomas Shimada,178.0,1351.0,1.0,3.0,1.0,51.0,29.0,18.0,14.0,10.0,1.0,4.0
Victor Ionita,185.0,233.0,166.666666667,1.66666666667,2.33333333333,62.0,36.6666666667,17.6666666667,12.0,9.33333333333,4.66666666667,10.0
Pedro Sousa,180.0,970.0,8.0,2.0,3.0,50.0,22.0,11.0,10.0,7.0,9.0,14.0
Andrei Medvedev,193.0,51.1803278689,827.885245902,5.2131147541,3.53448275862,83.868852459,48.6721311475,33.5081967213,16.6393442623,12.4262295082,5.80327868852,9.2131147541
Radomir Vasek,188.0,470.0,44.0,2.0,4.0,58.0,32.0,18.0,12.0,9.0,3.0,7.0
Tobias Kamke,180.0,113.882352941,514.470588235,2.14285714286,5.15384615385,79.7647058824,46.1176470588,30.2352941176,16.2941176471,12.4705882353,6.35714285714,9.5625
Alexander Sadecky,193.0,437.0,78.0,3.0,4.0,66.5,37.5,28.0,14.5,12.0,1.0,4.0
Rui Machado,178.0,177.8125,405.5,2.81818181818,3.07142857143,92.0625,61.1875,40.0625,15.375,13.875,5.53333333333,8.8125
Eric Taino,175.0,210.291666667,198.916666667,5.47826086957,3.04347826087,76.375,40.4583333333,28.4166666667,18.5,11.7916666667,3.85714285714,6.04166666667
Marius Copil,193.0,455.0,95.0,6.0,4.0,80.6666666667,39.6666666667,29.0,18.3333333333,12.0,4.33333333333,7.33333333333
Orlin Stanoytchev,185.0,109.391304348,369.086956522,6.69565217391,7.0,85.6086956522,48.7826086957,33.5217391304,16.3913043478,12.6956521739,5.21739130435,9.08695652174
Daniel Nestor,190.0,278.0,173.12,8.16,5.21739130435,87.56,54.64,39.2,17.04,13.72,4.21739130435,6.95833333333
Nicolas Todero,183.0,332.0,89.0,2.0,4.0,74.0,46.0,31.0,12.0,10.0,3.0,5.0
Luke Milligan,180.0,533.0,35.0,3.0,4.0,83.5,52.5,30.0,11.0,12.5,4.5,11.5
Richard Bloomfield,185.0,369.733333333,117.266666667,10.4,4.26666666667,83.3333333333,48.1333333333,36.6,17.6,12.6666666667,4.42857142857,6.64285714286
Denis Golovanov,188.0,333.2,141.8,3.0,5.0,67.6,35.4,23.4,12.4,10.0,4.8,9.0
Rohan Bopanna,190.0,333.882352941,118.294117647,9.94117647059,3.70588235294,71.8823529412,40.6470588235,32.0,15.3529411765,11.1764705882,4.53333333333,6.1875
Adrian Ungur,178.0,142.0,365.0,1.0,3.0,84.0,53.0,30.0,17.5,12.0,5.5,9.5
Marco Crugnola,188.0,293.5,240.0,1.0,5.0,49.0,28.5,16.0,7.5,8.0,4.0,8.5
Michael Yani,185.0,222.0,237.571428571,7.0,5.33333333333,102.285714286,60.2857142857,41.4285714286,21.8571428571,15.0,6.0,8.14285714286
Jurgen Melzer,183.0,53.088372093,978.46744186,5.96172248804,3.14910025707,80.3511627907,48.5209302326,34.2418604651,16.1372093023,12.4348837209,4.57286432161,7.13189448441
Brian Baker,190.0,328.1875,137.1875,3.875,5.93333333333,84.625,53.1875,37.125,14.5,12.625,4.86666666667,7.625
Alun Jones,180.0,193.272727273,236.727272727,4.3,3.22222222222,87.0909090909,55.0,34.7272727273,15.0,13.4545454545,6.2,10.1818181818
Alan Mackin,183.0,275.7,135.5,3.25,4.3,93.7,61.6,38.6,13.0,13.8,6.1,11.5
Diego Hartfield,185.0,101.904761905,425.523809524,4.35135135135,3.075,77.6904761905,50.5238095238,33.0714285714,13.0714285714,11.8095238095,4.58974358974,7.73170731707
Sebastien Lareau,183.0,127.730769231,313.269230769,5.76923076923,3.8,81.9615384615,50.1923076923,34.8076923077,15.4230769231,12.5384615385,4.44,7.46153846154
Frederik Nielsen,190.0,417.833333333,117.666666667,3.33333333333,3.5,71.1666666667,42.0,26.8333333333,12.3333333333,10.6666666667,5.16666666667,9.16666666667
Jan Hajek,180.0,97.5178571429,515.107142857,3.95652173913,2.73333333333,71.1964285714,43.5892857143,27.9821428571,13.1818181818,10.7857142857,4.84615384615,8.40740740741
Rainer Eitzinger,178.0,262.666666667,155.888888889,4.0,2.77777777778,74.1111111111,50.1111111111,32.0,11.7777777778,11.1111111111,4.11111111111,7.22222222222
Brian Vahaly,183.0,114.016666667,399.983333333,3.29411764706,3.69090909091,80.55,51.85,33.35,14.7833333333,12.3166666667,4.89285714286,8.06779661017
Albert Montanes,175.0,64.2527777778,785.897222222,3.928125,3.42767295597,74.4138888889,45.0444444444,31.2555555556,14.5153203343,11.5555555556,4.36391437309,7.10057471264
Novak Djokovic,188.0,17.0452261307,4998.98743719,5.66580310881,3.08839779006,79.3065326633,50.5753768844,36.4020100503,15.3140703518,12.4899497487,4.42535211268,6.48787061995
Takao Suzuki,175.0,341.25,165.444444444,10.0833333333,2.88235294118,82.6388888889,51.0,37.9444444444,16.6944444444,13.0,4.21212121212,6.13888888889
Alessio Di Mauro,185.0,105.617021277,405.914893617,4.06976744186,2.36585365854,74.4468085106,43.3191489362,27.4042553191,14.3617021277,11.2127659574,5.43902439024,8.95652173913
Christophe Rochus,170.0,85.0594059406,571.937293729,2.55963302752,3.26007326007,74.1716171617,44.9471947195,28.699669967,13.5412541254,11.2376237624,4.6529209622,8.30132450331
