name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,206.666666667,180.333333333,2.0,3.33333333333,69.3333333333,42.6666666667,31.0,13.6666666667,10.3333333333,3.5,6.0
Chris Guccione,201.0,506.25,47.0,15.0,4.85714285714,82.25,47.375,39.375,18.5,13.25,3.875,5.375
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,430.0,58.0,2.0,5.0,60.0,40.0,22.0,9.0,10.0,3.0,8.0
Edgardo Massa,180.0,144.428571429,289.0,3.85714285714,2.85714285714,86.8571428571,49.2857142857,33.1428571429,18.0,13.1428571429,8.8,10.2857142857
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,73.4571428571,636.885714286,4.73529411765,3.10344827586,79.0857142857,48.0857142857,33.2571428571,16.1714285714,12.3142857143,3.91176470588,6.79411764706
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,77.4350282486,548.97740113,6.04191616766,3.15584415584,80.6327683616,45.6384180791,31.9152542373,16.7005649718,12.2485875706,4.77160493827,7.87719298246
Michael Lammer,185.0,276.0,108.0,3.0,7.0,77.0,32.0,22.0,19.0,10.0,7.0,11.0
Dusan Vemic,190.0,380.0,71.3333333333,6.66666666667,5.0,67.6666666667,42.3333333333,30.6666666667,12.0,10.6666666667,2.66666666667,5.0
Adrian Garcia,175.0,187.954545455,277.272727273,2.68421052632,2.57142857143,65.2272727273,39.6818181818,26.7272727273,13.1363636364,9.95454545455,5.11764705882,6.95238095238
Igor Kunitsyn,180.0,182.5,214.875,3.85714285714,3.71428571429,85.25,44.5,28.125,19.75,12.375,5.75,10.25
Julien Benneteau,185.0,129.880952381,371.142857143,3.87179487179,3.25,73.9523809524,46.0714285714,30.3571428571,13.2619047619,11.6666666667,4.83783783784,8.05
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,111.367924528,498.660377358,4.33673469388,2.51807228916,74.4811320755,43.1132075472,29.6037735849,14.7358490566,11.320754717,5.04166666667,7.96116504854
Nenad Zimonjic,190.0,387.4,91.1,8.2,4.9,82.9,52.3,37.2,14.3,12.5,4.0,6.6
Juan Giner,178.0,315.0,122.0,1.66666666667,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2
