name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,206.666666667,180.333333333,2.0,3.33333333333,69.3333333333,42.6666666667,31.0,13.6666666667,10.3333333333,3.5,6.0
Chris Guccione,201.0,382.142857143,109.571428571,14.0714285714,4.69230769231,85.5714285714,49.0,39.0,19.0714285714,13.9285714286,4.63636363636,6.23076923077
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,134.0,325.25,3.72727272727,2.36363636364,81.25,47.3333333333,31.5833333333,17.1666666667,12.0833333333,6.9,9.0
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,69.2405063291,633.151898734,4.09210526316,2.60294117647,74.8734177215,45.9493670886,31.1772151899,14.0759493671,11.582278481,4.09722222222,7.18666666667
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,75.0884955752,562.57079646,5.92558139535,2.97382198953,80.8805309735,45.9601769912,32.2477876106,16.8318584071,12.3495575221,4.81067961165,7.8801843318
Michael Lammer,185.0,271.0,131.0,3.8,5.0,89.4,48.4,30.0,19.4,13.4,5.4,10.4
Dusan Vemic,190.0,311.285714286,111.714285714,5.57142857143,3.14285714286,68.8571428571,44.5714285714,29.7142857143,13.1428571429,10.8571428571,2.71428571429,5.0
Adrian Garcia,175.0,182.84,281.6,2.57142857143,2.875,65.08,39.68,26.84,12.96,10.04,5.05263157895,6.83333333333
Igor Kunitsyn,180.0,169.307692308,240.153846154,3.3,3.0,73.0769230769,38.9230769231,25.0,17.3076923077,11.1538461538,4.5,7.92307692308
Julien Benneteau,185.0,121.380952381,387.015873016,4.05263157895,3.14754098361,72.7619047619,45.6825396825,29.9523809524,12.4285714286,11.253968254,4.8275862069,8.19672131148
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,111.367924528,498.660377358,4.33673469388,2.51807228916,74.4811320755,43.1132075472,29.6037735849,14.7358490566,11.320754717,5.04166666667,7.96116504854
David Sherwood,193.0,261.0,142.0,6.0,5.0,84.5,43.0,31.0,23.0,14.0,3.5,6.5
