name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,75.2781954887,624.406015038,10.6212121212,6.73684210526,77.0601503759,43.8721804511,34.1127819549,15.5939849624,12.1578947368,4.35593220339,6.3828125
Boris Pashanski,180.0,78.9428571429,556.771428571,3.57692307692,4.15151515152,82.9428571429,47.6571428571,32.0,16.2285714286,12.0285714286,5.38235294118,9.14705882353
Chris Guccione,201.0,331.222222222,145.555555556,15.3333333333,4.70588235294,87.3888888889,50.5,39.8333333333,18.6111111111,13.8888888889,5.78571428571,7.11764705882
Bob Bryan,193.0,190.794871795,207.41025641,8.07692307692,3.06060606061,73.5384615385,46.1794871795,34.0256410256,14.1794871795,11.9230769231,4.0,5.72972972973
Johan Settergren,185.0,224.5,177.5,3.0,3.4,63.6666666667,37.3333333333,24.1666666667,11.1666666667,9.33333333333,6.0,7.33333333333
Mariusz Fyrstenberg,193.0,911.666666667,24.0,3.33333333333,4.33333333333,79.3333333333,49.0,29.6666666667,14.3333333333,12.0,6.0,8.66666666667
Edgardo Massa,180.0,250.583333333,211.708333333,3.27272727273,3.27272727273,76.6666666667,44.9166666667,30.125,16.0416666667,11.625,5.80952380952,8.65217391304
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Florian Mayer,190.0,67.7804878049,622.284552846,4.23333333333,2.42718446602,72.9756097561,44.8292682927,30.8617886179,13.7154471545,11.4308943089,3.95327102804,6.99107142857
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,73.0574712644,575.590038314,5.84552845528,2.91031390135,80.9808429119,46.0421455939,32.2337164751,16.8620689655,12.3409961686,4.80753138075,7.88492063492
Michael Lammer,185.0,255.0,142.714285714,3.42857142857,4.14285714286,82.8571428571,46.8571428571,28.1428571429,16.5714285714,12.7142857143,4.85714285714,10.0
Dusan Vemic,190.0,345.916666667,97.25,6.91666666667,3.66666666667,70.6666666667,44.75,30.5833333333,13.9166666667,10.9166666667,3.58333333333,5.66666666667
Adrian Garcia,175.0,186.481481481,273.481481481,2.47826086957,2.92,65.9259259259,40.1851851852,26.7777777778,12.962962963,10.1111111111,5.09523809524,7.15384615385
Igor Kunitsyn,180.0,131.078947368,337.605263158,2.96551724138,2.53333333333,73.3421052632,41.9210526316,27.4473684211,16.1842105263,11.0263157895,5.14285714286,7.92105263158
Julien Benneteau,185.0,101.5,478.712962963,4.64356435644,3.2427184466,77.3148148148,50.2407407407,33.2685185185,12.6481481481,11.8971962617,4.88118811881,8.1619047619
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
