name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,63.7735849057,698.820754717,10.8380952381,6.83962264151,77.8679245283,44.2641509434,34.4528301887,15.8679245283,12.3301886792,4.35483870968,6.35643564356
Bob Bryan,193.0,166.655172414,235.206896552,7.96551724138,3.19230769231,76.4482758621,46.7931034483,33.4482758621,15.5862068966,12.2413793103,4.26923076923,6.34482758621
Johan Settergren,185.0,192.8,199.4,3.0,3.25,66.2,39.6,26.2,11.2,9.4,6.66666666667,7.2
Edgardo Massa,180.0,115.4,346.2,4.2,3.0,96.4,55.6,37.4,18.8,14.8,11.3333333333,11.6
Marcus Sarstrand,183.0,357.0,78.0,6.0,4.0,76.0,38.0,26.0,14.0,13.0,3.0,9.0
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,70.5714285714,596.5,6.62727272727,3.29292929293,81.5535714286,44.9642857143,31.9553571429,17.25,12.4196428571,4.83495145631,7.91743119266
Dusan Vemic,190.0,502.0,40.0,4.0,7.0,78.0,50.0,35.0,9.0,11.0,3.0,6.0
Adrian Garcia,175.0,334.4,93.4,2.0,3.0,57.6,36.8,25.4,10.6,8.8,5.0,6.5
Igor Kunitsyn,180.0,193.0,177.0,6.0,9.0,149.0,69.0,41.0,41.0,20.0,11.0,19.0
Julien Benneteau,185.0,278.5,126.75,3.25,2.75,78.25,42.0,26.5,14.0,10.25,8.25,12.75
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
Harel Levy,185.0,100.686746988,559.048192771,4.38461538462,2.71014492754,75.5060240964,43.578313253,30.0963855422,14.9879518072,11.4819277108,5.03947368421,7.96296296296
Nenad Zimonjic,190.0,252.0,140.5,8.0,5.5,94.25,56.5,39.75,19.75,13.75,6.0,8.75
Juan Giner,178.0,254.25,144.0,1.5,1.75,56.5,37.0,22.0,11.75,9.75,2.25,5.5
Michael Kohlmann,188.0,133.291666667,312.916666667,6.68181818182,4.4347826087,77.3333333333,46.6666666667,34.1739130435,13.375,11.875,4.47826086957,7.70833333333
Cecil Mamiit,173.0,114.507692308,354.261538462,4.07142857143,3.23728813559,81.2307692308,46.6769230769,31.2923076923,16.7846153846,12.2923076923,5.89830508475,9.41935483871
Taylor Dent,188.0,123.984615385,381.030769231,7.375,5.09523809524,77.4,44.3538461538,32.6,16.4461538462,12.2769230769,4.10526315789,6.40625
Nikolay Davydenko,178.0,108.105263158,414.070175439,3.39130434783,2.97959183673,75.8245614035,47.298245614,30.0877192982,13.4210526316,11.5087719298,5.15094339623,8.73214285714
Bjorn Rehnquist,175.0,211.0,162.0,3.0,8.0,136.0,76.0,47.0,27.0,15.0,15.0,19.0
Gilles Elseneer,188.0,280.6,130.1,6.3,4.11111111111,74.8,44.9,31.8,14.8,11.9,4.625,6.88888888889
Jeff Salzenstein,185.0,371.375,116.375,8.14285714286,6.125,77.75,43.625,33.125,14.5,11.375,5.125,7.5
Gustavo Kuerten,190.0,7.17741935484,3144.40860215,9.4247311828,2.57142857143,82.4731182796,45.4462365591,35.1397849462,19.9731182796,13.0430107527,4.43790849673,6.07142857143
Dennis Van Scheppingen,185.0,234.166666667,175.5,2.16666666667,4.16666666667,63.5,35.5,27.6666666667,10.0,9.16666666667,5.4,8.4
Fernando Meligeni,180.0,72.8518518519,598.972222222,4.46534653465,4.04901960784,77.8888888889,44.462962963,30.5,16.6851851852,11.9166666667,5.44444444444,8.42857142857
Juan Albert Viloca Puig,185.0,180.916666667,219.5,3.5,3.1,74.8333333333,46.4166666667,30.3333333333,14.6666666667,11.3333333333,5.36363636364,7.83333333333
Franco Squillari,183.0,41.2214285714,1018.62142857,4.05263157895,5.27611940299,77.6571428571,43.1714285714,30.0857142857,16.5714285714,11.8142857143,5.0859375,7.97080291971
Karim Alami,185.0,57.2361111111,780.916666667,4.82857142857,3.79104477612,79.375,45.0555555556,31.7777777778,16.8888888889,12.3194444444,4.86363636364,7.66197183099
