name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,43.8888888889,840.444444444,10.1320754717,6.09259259259,76.2962962963,43.6111111111,34.037037037,15.9814814815,12.3518518519,4.17391304348,5.86538461538
Bob Bryan,193.0,167.181818182,231.0,7.36363636364,2.22222222222,76.7272727273,48.6363636364,35.5454545455,14.8181818182,12.2727272727,4.4,5.90909090909
Marcus Sarstrand,183.0,357.0,78.0,6.0,4.0,76.0,38.0,26.0,14.0,13.0,3.0,9.0
Marcos Ondruska,183.0,157.6,236.6,4.0,4.8,76.0,45.2,30.0,12.4,11.4,3.8,8.2
Davide Sanguinetti,188.0,95.5882352941,432.0,7.29411764706,3.09677419355,77.4705882353,41.1176470588,30.1470588235,16.6764705882,12.0588235294,4.875,8.15151515152
Adrian Garcia,175.0,355.0,82.5,2.0,1.33333333333,55.25,36.5,25.5,10.0,8.75,3.5,5.0
Justin Bower,190.0,509.0,39.0,13.5,5.0,125.0,83.0,62.5,21.0,19.0,6.0,9.0
Harel Levy,185.0,100.133333333,473.6,3.68965517241,3.0,73.3,40.8666666667,28.7666666667,15.7333333333,11.7,4.60714285714,7.68965517241
Juan Giner,178.0,399.0,63.0,0.0,2.0,71.0,46.0,22.0,13.0,12.0,3.0,9.0
Michael Kohlmann,188.0,192.5,183.75,6.5,3.25,62.25,34.75,32.3333333333,11.0,9.75,5.0,7.25
Cecil Mamiit,173.0,121.470588235,328.941176471,3.61538461538,3.28571428571,74.8823529412,40.5294117647,27.1764705882,16.5294117647,11.5294117647,6.14285714286,9.3125
Taylor Dent,188.0,234.666666667,148.555555556,7.66666666667,5.66666666667,74.8888888889,41.5555555556,30.2222222222,15.5555555556,11.5555555556,4.5,7.875
Nikolay Davydenko,178.0,308.0,96.0,1.66666666667,2.5,77.25,57.0,36.5,9.5,12.5,4.0,8.0
Jeff Salzenstein,185.0,540.75,46.5,10.6666666667,5.0,77.25,42.25,29.75,16.0,11.75,3.75,7.0
Gustavo Kuerten,190.0,4.42666666667,2692.26666667,9.82666666667,2.8064516129,82.4,44.2666666667,34.68,20.48,12.9466666667,4.1935483871,5.94029850746
Dennis Van Scheppingen,185.0,313.0,92.6666666667,2.33333333333,3.0,60.6666666667,36.3333333333,29.3333333333,10.6666666667,9.66666666667,2.5,5.0
Fernando Meligeni,180.0,66.3529411765,706.647058824,4.13333333333,4.45454545455,76.5588235294,43.3823529412,29.7352941176,15.4411764706,11.7941176471,4.9696969697,8.75757575758
Juan Albert Viloca Puig,185.0,189.0,207.4,2.25,2.0,72.8,48.0,30.0,14.0,11.4,5.5,7.6
Franco Squillari,183.0,32.8888888889,1056.88888889,3.96296296296,5.79245283019,81.1111111111,43.1296296296,30.9074074074,18.1851851852,12.2222222222,5.30769230769,8.18518518519
Karim Alami,185.0,33.7551020408,945.510204082,5.29166666667,4.11111111111,79.9183673469,44.7959183673,32.3265306122,17.612244898,12.5510204082,4.39534883721,6.85416666667
Francisco Cabello,190.0,291.0,102.0,0.0,2.0,40.0,18.0,8.0,8.0,7.0,3.0,8.0
Sergi Bruguera,188.0,205.321428571,225.928571429,3.42307692308,1.90476190476,68.9285714286,41.8928571429,27.5357142857,13.6428571429,11.0,5.0,7.60714285714
Nicolas Escude,185.0,27.7272727273,1064.52272727,6.95238095238,3.83333333333,74.6136363636,38.0909090909,28.3863636364,18.5681818182,11.75,4.42857142857,6.87179487179
David Caldwell,180.0,1028.0,4.0,3.0,3.0,96.0,73.0,43.0,10.0,14.0,11.0,16.0
Attila Savolt,183.0,139.875,283.75,4.25,5.625,82.125,42.625,29.25,17.125,13.375,6.75,11.75
Mehdi Tahiri,183.0,707.0,16.0,0.0,5.0,78.0,45.0,23.0,14.0,7.0,5.0,9.0
