name,ht,rank,rank_points,ace,df,svpt,firstIn,firstWon,secondWon,SvGms,bpSaved,bpFaced
Marc Rosset,201.0,70.2727272727,653.454545455,10.7666666667,6.95041322314,77.9752066116,44.2396694215,34.3966942149,15.8595041322,12.2809917355,4.44444444444,6.51724137931
Chris Guccione,201.0,591.5,28.5,18.0,7.33333333333,86.25,51.25,42.5,18.25,13.5,4.5,6.0
Bob Bryan,193.0,188.631578947,209.473684211,8.15789473684,3.125,73.5263157895,46.1842105263,34.0526315789,14.2105263158,11.9736842105,4.0,5.72222222222
Johan Settergren,185.0,192.8,199.4,3.0,3.25,66.2,39.6,26.2,11.2,9.4,6.66666666667,7.2
Mariusz Fyrstenberg,193.0,430.0,58.0,2.0,5.0,60.0,40.0,22.0,9.0,10.0,3.0,8.0
Edgardo Massa,180.0,144.428571429,289.0,3.85714285714,2.85714285714,86.8571428571,49.2857142857,33.1428571429,18.0,13.1428571429,8.8,10.2857142857
Marcus Sarstrand,183.0,377.0,72.0,3.5,3.5,64.0,34.5,21.5,10.5,10.5,3.5,9.0
Marcos Ondruska,183.0,178.75,211.625,3.625,5.625,97.0,56.75,37.375,17.0,14.5,6.875,12.0
Davide Sanguinetti,188.0,72.3310810811,578.858108108,6.27464788732,3.13740458015,80.3783783784,45.0743243243,31.8513513514,16.7162162162,12.2094594595,4.65693430657,7.69444444444
Michael Lammer,185.0,276.0,108.0,3.0,7.0,77.0,32.0,22.0,19.0,10.0,7.0,11.0
Dusan Vemic,190.0,380.0,71.3333333333,6.66666666667,5.0,67.6666666667,42.3333333333,30.6666666667,12.0,10.6666666667,2.66666666667,5.0
Adrian Garcia,175.0,349.333333333,86.6666666667,2.0,2.8,56.6666666667,37.1666666667,25.1666666667,9.5,8.66666666667,5.25,7.0
Igor Kunitsyn,180.0,161.0,232.0,4.66666666667,4.0,85.25,43.0,26.25,20.0,12.5,5.0,10.5
Julien Benneteau,185.0,211.285714286,178.857142857,3.33333333333,2.78571428571,69.5,42.2142857143,25.8571428571,12.1428571429,10.7142857143,5.30769230769,9.21428571429
Justin Bower,190.0,428.666666667,67.3333333333,11.6666666667,5.33333333333,125.666666667,81.6666666667,61.6666666667,21.6666666667,20.0,5.66666666667,9.33333333333
