htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,handDiff,h2hDiff,result
10.0,-1.3771389459,10.9993000031,-2889.99755859,3.83442211151,0.625495910645,-17.9523391724,-11.2416496277,-3.16079330444,-4.08576393127,-2.58302402496,-0.791015148163,-2.49935722351,0,1,1
8.0,0.3832991102,-12.9993000031,3258.24902344,8.33278846741,1.04078197479,4.44323730469,-0.593696594238,-1.00804901123,3.58342933655,0.748368263245,-1.21038484573,-1.50274181366,0,-1,0
-5.00001525879,-4.7556468173,1.0,-219.925292969,-7.20867824554,-1.49988341331,-0.791831970215,4.74891662598,0.290912628174,-4.79208183289,-0.416538238525,1.16627836227,1.99988269806,0,1,1
-10.9999847412,4.566735113,6.00000095367,-2113.31713867,-12.83411026,-1.61092960835,4.95655822754,12.0087013245,4.95157241821,-2.16627693176,0.890470504761,1.61279582977,2.16884422302,1,0,0
-4.99998474121,1.2183436003,-41.1427001953,2340.24902344,-5.00032281876,-1.58758533001,-5.93692016602,2.24098205566,1.44637298584,-0.478422164917,-0.253761291504,-1.36492586136,-2.76132297516,0,1,1
-2.0,-9.3141683778,-23.0009784698,978.436889648,3.30361223221,-0.874317646027,13.3917388916,10.0645675659,12.3119392395,2.45013237,2.25265789032,1.37540245056,0.000454902648926,0,1,1
-10.0,0.8733744011,-28.6015090942,3905.99829102,0.0744800567627,-1.79956626892,1.1237411499,2.3503036499,0.576473236084,4.32467651367,0.249700546265,-1.39988803864,-2.7005739212,0,2,1
-5.00001525879,-2.431211499,55.668296814,-2484.97753906,1.33348846436,2.77821874619,-4.77954864502,-14.6710166931,-10.4485397339,-2.33224391937,-2.55667114258,1.22395992279,3.33512210846,-1,-1,0
-5.0,1.6810403833,14.9999542236,-252.598266602,-0.533220767975,3.3323533535,13.6637268066,-3.86650848389,-5.19960784912,8.86394119263,-0.000374794006348,3.66493988037,4.66507911682,0,-1,0
0.0,-1.3908281999,-16.1430416107,745.023193359,0.500800132751,-0.302165985107,16.1059875488,15.1204338074,11.080116272,-0.321647644043,2.1090555191,1.94773387909,1.85933256149,0,1,1
18.0000152588,-10.5544147844,5.75026321411,-353.76184082,10.5029754639,-0.251136779785,23.0003433228,15.5005226135,12.7530632019,3.25113773346,3.75096130371,-0.251137256622,0.748163223267,0,-1,0
13.0,-2.7871321013,-53.5157432556,758.949035645,4.41166877747,2.60069131851,-0.0925598144531,-9.89259338379,-2.47375488281,4.33943271637,-0.00133895874023,-0.93658208847,-2.00863027573,1,-1,0
15.0,0.1943874059,-56.0020980835,379.261779785,1.50332641602,0.750438213348,0.0143508911133,-2.99089431763,-0.743083953857,3.75043678284,0.00210094451904,0.251663208008,-1.24746179581,0,1,1
10.0,-3.8466803559,-44.9539299011,717.436645508,4.00420761108,2.33439016342,-22.822013855,-20.1154060364,-8.73977279663,-2.70062446594,-4.35621547699,-0.673014640808,-3.67723417282,1,1,1
13.0000152588,3.1567419575,-426.999969482,877.0,10.2537641525,3.50157594681,14.7801971436,-7.23310470581,6.01155662537,9.00490188599,4.254114151,-4.74798679352,-5.24641132355,0,1,1
9.0,0.0191649555,-67.9999160767,649.261779785,-5.756980896,-1.75131225586,28.5038909912,38.0051956177,19.7548332214,-2.00130081177,4.24820613861,3.50588798523,4.50335550308,1,-1,0
3.0,7.1266255989,2.68174743652,-20.447265625,2.59439921379,-3.5992898941,-9.5758895874,8.72332382202,3.80460357666,-6.50707149506,-0.998893737793,-2.39729595184,-3.49148464203,0,1,1
6.0,-4.2026009583,-39.5010528564,309.006286621,-3.74973678589,0.502275943756,4.7612991333,-8.24570846558,-5.99964523315,9.00210094452,-0.749386787415,-1.74798679352,-3.2471113205,0,1,1
-7.0,-6.1218343601,30.3344955444,-127.589294434,6.41687107086,1.75067090988,19.4217758179,9.4197883606,10.7520713806,6.25143146515,2.91727924347,-0.333683490753,-1.6670165062,0,1,1
