htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,result
2.0,-2.2422997946,-1.32863235474,24.1784667969,-1.23875427246,0.301640510559,-0.194671630859,5.96839523315,2.75742149353,-3.368475914,0.10059261322,0.0842881202698,0.240070343018,0
3.0,-1.1608487337,28.0003356934,-8.80413818359,-1.6293400526,-1.44830858707,1.6436920166,8.01803207397,3.79479789734,-2.96343612671,0.121413230896,0.181143283844,0.172490596771,1
-13.0,-2.4777549623,-41.8045578003,1327.19140625,-3.59303569794,-0.205636739731,-5.20755767822,-4.76223754883,-5.21381759644,0.622062683105,-0.85741519928,0.249338150024,0.30798625946,0
10.0,1.3388090349,-62.8226737976,686.589355469,5.19585418701,1.12242257595,8.67909240723,-4.54909896851,3.17797660828,6.76665496826,1.40915679932,-0.174368858337,-1.25483083725,1
7.0,-2.7953456536,-38.7437782288,273.281494141,1.61904585361,2.24485778809,4.77702331543,0.607986450195,2.86382675171,1.97633743286,1.07106399536,-0.110501289368,-0.386405944824,0
10.0,2.5078713211,8.05881690979,-1048.77050781,3.26975870132,-0.0598866939545,2.95111846924,-2.00858306885,0.595851898193,1.30926609039,0.387111663818,-0.052517414093,0.0990042686462,1
5.0,-1.763175907,-15.9529800415,159.07208252,3.42844676971,-1.2170727253,2.83165740967,-4.50654220581,-0.670558929443,3.72765636444,0.325679779053,-0.101504325867,-0.367729663849,0
-20.0,-2.4038329911,43.353717804,-725.894042969,-5.46658325195,1.30118203163,-5.95750427246,-6.55458450317,-8.4378528595,-0.623134613037,-1.35979366302,0.616662502289,1.61091661453,1
10.0,0.8542094456,-45.0389823914,642.906066895,3.05154633522,-0.219195842743,4.65674591064,-4.91809844971,1.13459396362,6.12732601166,0.841091156006,-0.734877586365,-1.95177125931,0
-10.0,13.1882272416,514.305419922,-499.885559082,0.721621513367,1.60900878906,-4.3072052002,-1.42342376709,-0.750450134277,-2.77747821808,-1.15585613251,1.16216230392,1.11621570587,1
-23.0,2.0889801506,12.9061164856,-287.688354492,-6.44883346558,-2.95232820511,1.07079315186,1.51452636719,-3.99517822266,0.874261856079,-0.163830757141,1.19582009315,2.25315141678,0
5.0,-1.7932922656,-11.9969863892,660.899475098,-0.203281879425,-1.36467647552,-2.00184631348,0.4421043396,-0.325357437134,-1.22660160065,-0.184557914734,-0.0499877929688,0.0819916725159,1
-5.0,4.4271047228,-19.7752685547,137.993530273,1.6013405323,0.188094377518,-0.361839294434,-5.34661483765,-1.16347694397,3.35301494598,0.209862709045,-0.73223400116,-1.30650854111,0
2.0,7.4004106776,-22.4535903931,37.0505981445,2.95569324493,5.00358867645,4.89009857178,-2.53242874146,3.90210342407,4.20631217957,1.29133701324,-0.514356136322,-1.72202968597,1
0.0,-7.6495550993,-4.13126373291,-296.471160889,2.07848501205,0.20499253273,-0.40966796875,-9.22011947632,-4.46932601929,5.2832660675,0.0352239608765,-0.130526542664,-0.385656833649,0
-10.0,-0.8651608487,-85.3166656494,456.241668701,-1.70277786255,-2.90277791023,-6.88055419922,-3.40000152588,-4.60277938843,0.0611114501953,-1.23333358765,0.169444561005,-0.0333333015442,1
7.0,3.3566050651,13.0646362305,72.9625854492,3.70695304871,0.886420726776,-2.47100830078,-9.71799850464,-0.096134185791,4.1093120575,-0.253765106201,-1.22653102875,-2.93235445023,0
8.0,-1.3689253935,18.25,-5.5,2.25,3.0,5.0,0.25,5.25,5.5,0.75,-1.0,-3.25,1
-3.0,-3.6605065024,-80.1843109131,641.611999512,-0.600533008575,0.356245279312,2.97839355469,3.03369903564,1.16136550903,-0.547790527344,0.336253166199,0.515041828156,0.795601844788,0
-2.0,-0.6899383984,-72.5232086182,440.476654053,-3.66069293022,-2.14777064323,-0.489250183105,7.19250488281,1.28370666504,-2.6691942215,-0.40394115448,0.455678462982,0.657407283783,1
-5.0,1.2210814511,-229.908691406,427.846740723,-1.2913043499,-1.2489130497,6.42608642578,10.7217407227,3.84021568298,-3.42934799194,1.02717399597,1.34999990463,3.0021739006,0
-10.0,-6.2861054073,-221.164337158,288.752746582,-2.79577469826,-1.97652590275,7.58294677734,17.7300491333,7.73161125183,-3.22613525391,1.56885719299,-0.744914054871,-0.0649452209473,1
10.0,6.8610540725,-285.215545654,3467.53491211,5.59026861191,0.0857872962952,0.895858764648,9.98719406128,11.4878368378,-3.8489112854,0.808365821838,-2.39308571815,-4.05932617188,0
-18.0,2.0396988365,51.4043769836,-644.080688477,-2.36450481415,-0.153023004532,-6.48557281494,-6.34090805054,-6.242811203,-0.155897140503,-1.12977600098,0.130484580994,0.567858695984,1
-3.0,-14.6803559206,552.790100098,-805.643493652,1.97080731392,3.72111797333,-1.04658508301,-3.91739273071,-0.785713195801,-1.26024913788,-0.74285697937,0.748447418213,0.911179542542,0
